1,James Martinez,18,France,Premium,80,Drama,2024-05-12,Gen Z,Casual Viewer,Lost User
2,John Miller,23,USA,Premium,322,Sci-Fi,2025-02-05,Gen Z,Binge Watcher,Dormant User
3,Emma Davis,60,UK,Basic,36,Comedy,2025-01-24,Boomers,Casual Viewer,Dormant User
4,Emma Miller,44,USA,Premium,262,Documentary,2024-03-25,Gen X,Regular Watcher,Lost User
5,Jane Smith,68,USA,Standard,909,Drama,2025-01-14,Boomers,Ultimate Binger,Dormant User
6,David Johnson,21,USA,Standard,616,Romance,2025-02-03,Gen Z,Streaming Fanatic,Dormant User
7,John Hernandez,57,Canada,Standard,755,Romance,2025-01-05,Gen X,Marathon Watcher,Dormant User
8,Katie Hernandez,68,USA,Standard,145,Sci-Fi,2024-10-30,Boomers,Light Watcher,Lost User
9,James Williams,39,UK,Basic,950,Action,2024-04-16,Millennials,Ultimate Binger,Lost User
10,Alex Davis,55,Mexico,Standard,697,Horror,2024-07-03,Gen X,Streaming Fanatic,Lost User
11,Jane Miller,26,Japan,Standard,290,Action,2024-09-11,Gen Z,Regular Watcher,Lost User
12,Jane Martinez,62,USA,Standard,490,Action,2024-06-12,Boomers,Dedicated Viewer,Lost User
13,Alex Martinez,65,Australia,Premium,712,Comedy,2024-08-08,Boomers,Marathon Watcher,Lost User
14,Alex Smith,35,Germany,Premium,74,Sci-Fi,2024-10-02,Millennials,Casual Viewer,Lost User
15,Michael Jones,68,USA,Premium,359,Sci-Fi,2024-07-25,Boomers,Binge Watcher,Lost User
16,Chris Miller,39,Australia,Premium,768,Comedy,2024-10-11,Millennials,Marathon Watcher,Lost User
17,Chris Davis,74,UK,Standard,611,Drama,2024-07-03,Boomers,Streaming Fanatic,Lost User
18,Emma Williams,59,Canada,Premium,813,Documentary,2024-08-08,Boomers,Hardcore Viewer,Lost User
19,Alex Johnson,63,Brazil,Premium,964,Action,2024-08-08,Boomers,Ultimate Binger,Lost User
20,John Jones,67,Canada,Standard,461,Comedy,2024-12-07,Boomers,Dedicated Viewer,Lost User
21,Michael Williams,47,France,Standard,637,Horror,2025-01-21,Gen X,Streaming Fanatic,Dormant User
22,James Martinez,46,UK,Premium,621,Comedy,2024-04-19,Gen X,Streaming Fanatic,Lost User
23,Sarah Davis,40,UK,Basic,452,Drama,2024-04-08,Millennials,Dedicated Viewer,Lost User
24,John Smith,46,UK,Basic,389,Horror,2024-10-16,Gen X,Binge Watcher,Lost User
25,Alex Brown,37,Canada,Basic,418,Horror,2024-05-26,Millennials,Dedicated Viewer,Lost User
26,Chris Johnson,26,Brazil,Premium,95,Sci-Fi,2024-08-23,Gen Z,Casual Viewer,Lost User
27,James Jones,17,Mexico,Standard,254,Documentary,2024-09-29,Gen Z,Regular Watcher,Lost User
28,Michael Johnson,37,France,Premium,936,Comedy,2025-01-07,Millennials,Ultimate Binger,Dormant User
29,Michael Johnson,59,Mexico,Basic,972,Drama,2024-11-03,Boomers,Ultimate Binger,Lost User
30,Sarah Smith,67,Australia,Basic,543,Action,2025-02-11,Boomers,TV Addict,Dormant User
31,Chris Jones,14,Germany,Premium,82,Drama,2024-08-06,Gen Z,Casual Viewer,Lost User
32,John Williams,27,Canada,Standard,569,Sci-Fi,2025-02-01,Gen Z,TV Addict,Dormant User
33,Jane Brown,59,UK,Standard,67,Sci-Fi,2024-07-21,Boomers,Casual Viewer,Lost User
34,David Davis,56,Mexico,Basic,836,Documentary,2024-07-11,Gen X,Hardcore Viewer,Lost User
35,Emma Hernandez,52,India,Basic,91,Sci-Fi,2024-12-04,Gen X,Casual Viewer,Lost User
36,Michael Jones,26,UK,Basic,704,Comedy,2024-06-06,Gen Z,Marathon Watcher,Lost User
37,Sarah Williams,64,Germany,Basic,694,Documentary,2024-06-28,Boomers,Streaming Fanatic,Lost User
38,David Martinez,80,Brazil,Premium,432,Drama,2024-08-08,Boomers,Dedicated Viewer,Lost User
39,Emma Smith,70,USA,Standard,14,Comedy,2024-10-27,Boomers,Casual Viewer,Lost User
40,Sarah Hernandez,15,Brazil,Premium,915,Horror,2024-04-30,Gen Z,Ultimate Binger,Lost User
41,John Jones,23,Germany,Standard,405,Romance,2024-10-29,Gen Z,Dedicated Viewer,Lost User
42,James Williams,40,Canada,Premium,611,Romance,2024-10-02,Millennials,Streaming Fanatic,Lost User
43,David Brown,35,Canada,Premium,835,Documentary,2024-06-08,Millennials,Hardcore Viewer,Lost User
44,Chris Garcia,68,Japan,Basic,146,Documentary,2024-04-12,Boomers,Light Watcher,Lost User
45,Chris Jones,50,USA,Basic,370,Action,2024-03-30,Gen X,Binge Watcher,Lost User
46,John Johnson,45,India,Standard,475,Drama,2024-11-01,Gen X,Dedicated Viewer,Lost User
47,Sarah Smith,16,Brazil,Premium,321,Documentary,2024-04-13,Gen Z,Binge Watcher,Lost User
48,Sarah Garcia,40,Australia,Basic,197,Comedy,2024-10-19,Millennials,Light Watcher,Lost User
49,Michael Brown,57,Australia,Premium,421,Sci-Fi,2024-09-18,Gen X,Dedicated Viewer,Lost User
50,David Hernandez,72,Brazil,Basic,479,Action,2024-07-13,Boomers,Dedicated Viewer,Lost User
51,Sarah Jones,53,Germany,Standard,12,Horror,2025-02-09,Gen X,Casual Viewer,Dormant User
52,Alex Jones,55,Japan,Basic,158,Action,2024-12-28,Gen X,Light Watcher,Lost User
53,John Smith,65,Canada,Standard,589,Comedy,2025-02-21,Boomers,TV Addict,Dormant User
54,Chris Martinez,27,France,Standard,368,Romance,2025-02-27,Gen Z,Binge Watcher,Dormant User
55,David Hernandez,72,USA,Premium,889,Horror,2024-12-11,Boomers,Hardcore Viewer,Lost User
56,Alex Davis,16,Mexico,Premium,740,Sci-Fi,2024-08-11,Gen Z,Marathon Watcher,Lost User
